Designator,Mid X,Mid Y,Layer,Rotation
C1,15.0,19.0,bottom,90.0
C12,17.0,27.0,bottom,90.0
C34,34.0,45.0,bottom,270.0
C35,37.0,52.0,bottom,180.0
C36,37.0,56.0,bottom,180.0
C37,37.0,54.0,bottom,180.0
C6,15.0,13.0,bottom,270.0
C8,15.0,27.0,bottom,90.0
C9,13.0,13.0,bottom,270.0
CHANGE,128.0,28.0,top,0.0
D1,31.0,50.0,bottom,0.0
DS1,46.39,31.66,top,0.0
I_DOWN,128.0,40.0,top,0.0
I_UP,128.0,52.0,top,0.0
J1,6.29,40.0,bottom,90.0
JP1,10.58,53.49,top,0.0
JP2,21.4,34.6,bottom,270.0
JP3,21.4,14.2,bottom,270.0
JP4,69.6,16.8,bottom,90.0
OUTPUT,128.0,10.0,top,0.0
PS1,16.0,35.27,bottom,270.0
R1,46.0,62.0,bottom,180.0
R2,18.0,56.0,bottom,90.0
R3,51.0,30.0,bottom,270.0
R4,10.0,50.0,bottom,0.0
SET_BUFFER,105.0,10.0,top,0.0
U$2,69.6,41.0,bottom,90.0
U1,44.0,35.0,bottom,180.0
U2,69.0,31.98,bottom,0.0
U4,9.0,21.0,bottom,90.0
U7,40.0,46.0,bottom,90.0
VIEW,105.0,28.0,top,0.0
VR1,105.0,43.56,top,0.0
VR2,128.0,43.56,top,0.0
V_DOWN,105.0,40.0,top,0.0
V_UP,105.0,52.0,top,0.0
Y1,36.0,38.0,bottom,90.0
